horsenumber,horsecode,jockey_id,todaysrating,avg_spds,timelist,isMaiden,racedate,raceclass,runners_list,racesurface,jockeycode,marginsbehindleader,dayssincelastrun,previousruns_car,racegoing,localracetime,horse_id,racename,l3odds,priority,racecoursecode,trackvariant,ownername,race_id,trainername,racenumber,utcracetime,owner_id,prev_avg_spds_d,gear,previousruns_d,h_pastraces,placing,racerating,trainer_id,jockeyname,jtohweights_h,lastwonat,racedistance,horsename,horse_url,previouswins_car,raceday_id,prev_avg_spds_cl,finish_time,positions,trainercode,seasonstakes,ranked_avgspds,dayssincelastrun_h,previouswins_d
3,P446,,,"[16.9061707523246, 16.988229583788375, 16.71541997492687, 16.450648055832502, 17.004737033888013, 17.24987678659438, 17.077335935594046, 17.073170731707318, 16.85325628987601, 17.24633515377982, 17.224056265250464, 17.133066818960593]",,,2015-09-28,2,,No surface found in dict,CKK,,22,13,,,,,"[9.2, 0.0, 3.4]",1,,,Mr & Mrs Michael Cheng Wing On and Janice Cheng Po Hei,,,10,2015-09-28 09:45:00,,"[16.9061707523246, 16.988229583788375, 16.71541997492687, 17.24987678659438, 17.077335935594046, 17.073170731707318, 16.85325628987601, 17.24633515377982]",CP/TT,8,"[('20150531_662', None), ('20150215_400', None), ('20141130_203', None), ('20141228_271', None), ('20150121_336', None), ('20140510_619', None), ('20140921_28', None), ('20150329_504', None), ('20140413_554', None), ('20150906_7', None), ('20140316_477', None), ('20141115_166', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,FULL TALENT,,5,,"[16.9061707523246, 16.988229583788375, 16.71541997492687, 16.450648055832502, 17.004737033888013, 17.24987678659438, 17.077335935594046]",,,GR,0,"[9, 8, 11, 12, 7, 1, 5, 6, 10, 2, 3, 4]","[98, 63, 42, 25, 24, 28, 15, 55, 134, 27, 28, 28]",3
2,S298,,,"[17.02308756250665, 16.95120474633733, 16.89189189189189, 17.152658662092623, 17.273288093769278, 17.094017094017094, 16.942998910807212, 17.127477367262053, 16.924564796905223, 17.204301075268816, 17.341040462427745, 17.108639863130882, 17.11840228245364]",,,2015-09-28,2,,No surface found in dict,CAN,,78,13,,,,,"[13.0, 11.0, 11.0]",+1,,,Win Forever Syndicate,,,10,2015-09-28 09:45:00,,"[16.95120474633733, 17.152658662092623, 17.273288093769278, 17.094017094017094, 16.942998910807212, 17.127477367262053, 16.924564796905223]",B,7,"[('20150712_775', None), ('20150412_534', None), ('20150531_662', None), ('20150125_346', None), ('20141207_218', None), ('20141026_120', None), ('20150207_382', None), ('20150308_448', None), ('20140608_693', None), ('20141005_65', None), ('20140701_760', None), ('20141123_185', None), ('20140921_27', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,PIKACHU,,3,,"[16.95120474633733, 16.89189189189189, 17.273288093769278, 17.094017094017094]",,,FD,0,"[9, 10, 13, 4, 2, 8, 11, 5, 12, 3, 1, 7, 6]","[42, 49, 35, 29, 13, 49, 14, 28, 21, 14, 82, 23]",3
12,T375,,,,,,2015-09-28,2,,No surface found in dict,HCY,,,0,,,,,,+1,,,Boniface Ho Ka Kui,,,10,2015-09-28 09:45:00,,,,0,,,0,,,,,1400,SICHUAN DAR,,0,,,,,FC,0,,,0
13,S263,,,"[16.726403823178018, 16.977928692699493, 16.71442215854823, 16.195524146054183, 17.073170731707318, 16.762452107279696, 17.10028093318676, 16.875602700096433, 16.875602700096433, 17.38878423416896, 17.23147616312464, 17.069701280227598]",,,2015-09-28,2,,No surface found in dict,YML,,93,12,,,,,"[7.0, 18.0, 6.2]",1,,,Wing Tung Fat Syndicate,,,10,2015-09-28 09:45:00,,"[16.726403823178018, 16.977928692699493, 16.71442215854823, 17.073170731707318, 16.762452107279696, 17.10028093318676, 16.875602700096433, 16.875602700096433]",V1,8,"[('20141005_59', None), ('20150531_662', None), ('20150125_346', None), ('20140618_716', None), ('20140914_8', None), ('20141102_139', None), ('20150225_420', None), ('20150509_607', None), ('20150110_310', None), ('20141123_185', None), ('20150627_735', None), ('20140521_646', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,UNIVERSAL UNION,,1,,"[16.726403823178018, 16.977928692699493, 16.71442215854823, 16.195524146054183, 17.073170731707318]",,,YTP,0,"[10, 6, 11, 12, 4, 9, 3, 7, 7, 1, 2, 5]","[27, 22, 73, 31, 15, 48, 21, 28, 21, 88, 28]",1
1,P412,,,"[16.839066634592253, 16.92654903569963, 16.819089666771788, 16.71774867651156, 16.53306613226453, 16.859852476290833, 16.940451745379875, 16.63720494956847, 16.6631951676734, 16.432353478181486, 16.624685138539043, 17.0316301703163, 17.055144968732236, 17.27364329926587, 17.006802721088437, 17.073170731707318, 17.023346303501945, 16.668402958641526, 17.079419299743808, 17.22652885443583, 16.97552694864903, 17.111079423926995, 16.863406408094434, 16.912297656438753, 17.191977077363898, 16.924564796905223, 17.639795378373613, 17.248814144027598, 17.16001716001716]",,,2015-09-28,2,,No surface found in dict,RN,,22,29,,,,,"[47.0, 7.2, 89.0]",2,,,Boniface Ho Ka Kui,,,10,2015-09-28 09:45:00,,"[16.839066634592253, 17.0316301703163, 17.006802721088437, 17.073170731707318, 17.023346303501945, 17.079419299743808, 16.863406408094434, 16.912297656438753, 16.924564796905223]",E,9,"[('20140525_657', None), ('20150325_491', None), ('20150215_400', None), ('20150527_652', None), ('20150614_699', None), ('20150308_445', None), ('20150412_534', None), ('20140615_712', None), ('20150701_743', None), ('20131229_284', None), ('20140111_323', None), ('20150906_7', None), ('20131109_155', None), ('20131208_230', None), ('20141130_203', None), ('20141005_64', None), ('20131030_125', None), ('20140413_555', None), ('20141019_102', None), ('20140305_452', None), ('20140319_484', None), ('20130915_27', None), ('20141220_259', None), ('20150118_328', None), ('20150506_597', None), ('20131006_64', None), ('20140510_620', None), ('20140914_10', None), ('20140212_397', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,SICHUAN VIGOUR,,2,,"[16.839066634592253, 16.92654903569963, 16.819089666771788, 16.71774867651156, 16.53306613226453, 16.859852476290833, 16.940451745379875, 16.63720494956847, 16.6631951676734, 16.432353478181486, 16.624685138539043, 17.0316301703163, 17.055144968732236, 17.27364329926587, 17.006802721088437, 17.073170731707318, 17.023346303501945, 16.668402958641526, 16.912297656438753, 17.191977077363898, 17.639795378373613, 17.248814144027598, 17.16001716001716]",,,SJJ,0,"[21, 16, 22, 23, 28, 20, 15, 26, 25, 29, 27, 11, 10, 2, 13, 9, 12, 24, 8, 4, 14, 7, 19, 18, 5, 17, 1, 3, 6]","[67, 17, 18, 21, 24, 18, 17, 21, 28, 29, 20, 42, 14, 21, 91, 21, 15, 27, 25, 14, 21, 32, 13, 21, 29, 10, 24, 21]",1
11,T391,,,,,,2015-09-28,2,,No surface found in dict,LWM,,,0,,,,,,+1,,,Joseph Fong Kit Man,,,10,2015-09-28 09:45:00,,,,0,,,0,,,,,1400,GIANT TURTLE,,0,,,,,NTK,0,,,0
9,T309,,,"[16.78053457988733, 17.196904557179707, 16.64145234493192]",,,2015-09-28,2,,No surface found in dict,MG,,22,3,,,,,"[23.0, 99.0, 99.0]",1,,,Mr & Mrs Lau Ying Wah,,,10,2015-09-28 09:45:00,,"[16.78053457988733, 17.196904557179707]",TT,2,"[('20150712_777', None), ('20150701_743', None), ('20150906_7', None)]",,0,,,"[0, 0, 0]",,1400,WAH MAY FRIEND,,0,,"[16.78053457988733, 17.196904557179707, 16.64145234493192]",,,CAS,0,"[2, 1, 3]","[56, 11]",0
13,T217,,,"[17.045454545454543, 17.571604287471448, 16.920473773265652, 17.51006828926633]",,,2015-09-28,3,,No surface found in dict,TEK,,89,4,,,,,"[7.0, 3.8, 3.3]",+1,,,Yeung Kam Wing,,,8,2015-09-28 08:35:00,,"[17.045454545454543, 16.920473773265652]",,2,"[('20150524_634', None), ('20150503_579', None), ('20150412_524', None), ('20150701_736', None)]",,0,,,"[0, 0, 0, 0]",,1200,HAPPY CHAPPY,,1,,,,,YPF,0,"[3, 1, 4, 2]","[38, 21, 21]",0
14,S142,,,"[17.724211272598367, 17.1257314114457, 16.309182564001187, 16.595542911332384, 17.27613014684711, 17.61080129145876, 16.85325628987601, 17.006802721088434, 16.364177328176137, 17.091930167256745, 16.770483948251076, 17.152658662092623, 17.733640716439083, 17.039922103213243, 16.93480101608806, 17.6522506619594, 16.39344262295082, 16.91434094478676]",,,2015-09-28,2,,No surface found in dict,LDE,,22,18,,,,,"[30.0, 26.0, 5.3]",1,,,Penha Hill Syndicate,,,10,2015-09-28 09:45:00,,"[16.595542911332384, 16.85325628987601, 17.091930167256745, 16.770483948251076, 17.152658662092623, 17.039922103213243, 16.93480101608806, 16.39344262295082, 16.91434094478676]",,9,"[('20150325_493', None), ('20150412_531', None), ('20150315_468', None), ('20140706_769', None), ('20140301_443', None), ('20141102_139', None), ('20141001_55', None), ('20141130_204', None), ('20140126_358', None), ('20150509_607', None), ('20140917_17', None), ('20150114_318', None), ('20140608_692', None), ('20150211_390', None), ('20150906_8', None), ('20150708_766', None), ('20140510_617', None), ('20150624_725', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,MARVEL TRIBE,,1,,"[17.724211272598367, 17.1257314114457, 16.595542911332384, 16.85325628987601, 17.006802721088434]",,,YPF,0,"[2, 7, 18, 15, 5, 4, 13, 10, 17, 8, 14, 6, 1, 9, 11, 3, 16, 12]","[60, 14, 46, 27, 18, 10, 32, 28, 45, 28, 32, 14, 73, 28, 29, 70, 34]",0
10,S194,,,"[16.365800436421345, 16.55476869309298, 16.909744240118368, 16.89545934530095, 16.88374336710082, 16.053941242575053, 16.80672268907563, 16.854524386389972, 17.08567244325116, 16.97792869269949, 16.774502755811167, 16.982734220209455, 16.621156357592305, 17.096452486109133]",,,2015-09-28,2,,No surface found in dict,SCC,,96,14,,,,,"[4.9, 13.0, 4.9]",1,,,Cheng Keung Fai,,,10,2015-09-28 09:45:00,,"[16.88374336710082, 17.08567244325116, 16.774502755811167, 16.621156357592305]",TT,4,"[('20150412_534', None), ('20140608_692', None), ('20140517_635', None), ('20150315_468', None), ('20141228_269', None), ('20141001_55', None), ('20140309_463', None), ('20141214_242', None), ('20141102_136', None), ('20140223_424', None), ('20140625_738', None), ('20150607_677', None), ('20150624_725', None), ('20150516_622', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,SELKIRK STAR,,1,,"[16.55476869309298, 16.909744240118368, 16.89545934530095, 16.88374336710082, 16.80672268907563, 16.621156357592305, 17.096452486109133]",,,JM,0,"[13, 12, 5, 6, 7, 14, 9, 8, 2, 4, 10, 3, 11, 1]","[17, 22, 34, 28, 77, 14, 42, 32, 98, 17, 22, 69, 14]",0
