l3odds,horsecode,jockey_id,todaysrating,all_runs,min_surf,avg_spds,timelist,isMaiden,race_id,mean_surf,racedate,raceclass,previouswins_d,racesurface,jockeycode,marginsbehindleader,max_d,dayssincelastrun,previousruns_car,racegoing,localracetime,horse_id,racename,horsenumber,previouswins_surf,priority,racecoursecode,previousruns_cl,ownername,max_car,min_d,trackvariant,racenumber,max_cl,runners_list,owner_id,prev_avg_spds_d,previouswins_cl,min_cl,gear,previousruns_d,h_pastraces,placing,racerating,trainer_id,jockeyname,mean_cl,jtohweights_h,raceday_id,lastwonat,trainername,min_car,racedistance,horsename,horse_url,previous_rp_aggs,previouswins_car,places_daysoff,prev_avg_spds_cl,finish_time,positions,trainercode,seasonstakes,utcracetime,mean_d,ranked_avgspds,dayssincelastrun_h,mean_car,previousruns_surf,max_surf,career_roi
"[19.0, 3.0, 18.0]",T200,,,3<1<3<8,,"[17.38374619730552, 17.296050735082158, 17.142857142857142, 17.45810055865922]",,,,,2015-10-01,2,0,A+3,FRA,,,25,4,G,,,,1,0,1,ST,2,Tony Yue Kwok Leung,17.45810055865922,,,10,17.296050735082158,,,,1,17.142857142857142,B,0,"[('20150422_560', (119, 3)), ('20150610_688', (121, 1)), ('20150906_003', (115, 3)), ('20150308_447', (130, 8))]",,0,,,,,,,,17.142857142857142, 1200,HIGH FIVE,,,1,"3>(88d),1>(49d),3>(45d)","[17.296050735082158, 17.142857142857142]",,,MA,0,2015-10-01 09:45:00,,"[2, 3, 4, 1]","[88, 49, 45]",,0,,-25.0
[6.5],T238,,,12,17.75883502042266,[17.75883502042266],,,,,2015-10-01,2,0,A+3,PB,,,151,1,G,,,,5,0,+1,ST,1,Hi-Five Syndicate,17.75883502042266,,,10,17.75883502042266,,,,0,17.75883502042266,TT1,0,"[('20150503_587', (128, 12))]",,0,,,,,,,,17.75883502042266, 1200,LOOKS LIKE THE CAT,,,0,,[17.75883502042266],,,FC,0,2015-10-01 09:45:00,,[1],,,1,17.75883502042266,-100.0
"[26.0, 14.0, 94.0]",S022,,,10<11<12<6<9<1<3<2<0<1<7<1<1<2<12<6,17.83803068141277,"[17.639795378373613, 16.710764517476672, 17.28608470181504, 17.905102954341988, 17.686593562079942, 17.278617710583152, 17.639795378373613, 17.69598301185631, 17.55001755001755, 17.346053772766695, 17.6772140710624, 17.8826895565093, 17.83803068141277, 17.164435290078956, 17.38828029907842]",,,,,2015-10-01,2,0,A+3,STH,,,25,16,G,,,,6,2,+1,ST,4,Alexander Wong,17.905102954341988,,,10,17.905102954341988,,,,1,16.710764517476672,V-/H/B2,0,"[('20141012_081', (123, 1)), ('20140618_715', (124, 2)), ('20150531_661', (113, 12)), ('20141102_137', (126, 7)), ('20150201_360', (127, 2)), ('20150321_485', (108, 1)), ('20150906_008', (126, 10)), ('20150308_447', (122, 3)), ('20140701_753', (127, 1)), ('20140208_382', (126, 12)), ('20140108_308', (125, 6)), ('20150621_717', (116, 11)), ('20141207_221', (129, 1)), ('20150110_308', (128, 0)), ('20150503_587', (121, 6)), ('20150407_522', (113, 9))]",,0,,,,,,,,16.710764517476672, 1200,LOVELY DELOVELY,,,4,"10>(77d),11>(21d),12>(28d),6>(26d),9>(17d),1>(13d),3>(35d),2>(22d),1>(35d),7>(21d),1>(103d),1>(13d),2>(130d),12>(31d)","[17.639795378373613, 16.710764517476672, 17.905102954341988, 17.278617710583152]",,,CD,0,2015-10-01 09:45:00,,"[7, 15, 12, 1, 5, 13, 7, 4, 9, 11, 6, 2, 3, 14, 10]","[77, 21, 28, 26, 17, 13, 35, 22, 34, 35, 21, 103, 13, 130, 31]",,3,17.905102954341988,60.62499999999999
"[4.1, 13.0, 27.0]",T188,,,2<2<5<8<14<1<4<10,16.40823693494134,"[16.40823693494134, 16.5929203539823, 16.93480101608806, 16.067776803973125, 16.159004605316312, 16.20482903905364, 16.530443566902377, 17.006802721088434]",,,,,2015-10-01,2,0,A+3,WD,,,88,8,G,,,,3,0,+1,ST,7,Wong Chung Hin & Arnold Wong Chi Chiu,17.006802721088434,,,10,17.006802721088434,,,,1,16.067776803973125,H/SR,0,"[('20150419_547', (119, 8)), ('20150705_756', (123, 2)), ('20150315_467', (126, 14)), ('20150110_304', (125, 10)), ('20150118_328', (116, 4)), ('20150607_677', (121, 2)), ('20150215_395', (117, 1)), ('20150516_622', (130, 5))]",,0,,,,,,,,16.067776803973125, 1200,DYNAMISM,,,1,"2>(28d),2>(22d),5>(27d),8>(35d),14>(28d),1>(28d),4>(8d)","[16.40823693494134, 16.5929203539823, 16.93480101608806, 16.067776803973125, 16.20482903905364, 16.530443566902377, 17.006802721088434]",,,FD,0,2015-10-01 09:45:00,,"[5, 3, 2, 8, 7, 6, 4, 1]","[28, 22, 27, 35, 28, 28, 8]",,3,16.5929203539823,75.0
"[48.0, 19.0]",T096,,,12<13,,"[16.816816816816818, 16.710764517476672]",,,,,2015-10-01,2,0,A+3,LDE,,,236,2,G,,,,13,0,2,ST,2,Mr & Mrs Li Ming On,16.816816816816818,,,10,16.816816816816818,,,,0,16.710764517476672,TT1,0,"[('20150110_304', (129, 13)), ('20150207_382', (120, 12))]",,0,,,,,,,,16.710764517476672, 1200,SKYROCKETS,,,0,12>(28d),"[16.816816816816818, 16.710764517476672]",,,YPF,0,2015-10-01 09:45:00,,"[1, 2]",[28],,0,,-100.0
"[2.8, 3.1, 8.4]",T009,,,3<3<2<4<2<2<1<6<1<2<1<1<5,17.064846416382252,"[17.167381974248926, 17.072129748186086, 16.99441612041758, 17.112822393350445, 17.064846416382252, 16.920473773265652, 17.293558149589277, 17.25129384703853, 17.326017903551833, 17.130620985010708, 17.25625539257981, 17.391304347826086, 17.011624610150268]",,,,,2015-10-01,2,0,A+3,MOJ,,,85,13,G,,,,2,0,+1,ST,6,Dr Edwin Lam Chi Wan,17.391304347826086,,,10,17.167381974248926,,,,0,16.920473773265652,B,0,"[('20150104_289', (125, 2)), ('20150301_429', (133, 1)), ('20150531_662', (130, 2)), ('20150315_468', (123, 2)), ('20150426_569', (120, 4)), ('20150207_379', (128, 6)), ('20150329_504', (125, 2)), ('20141029_124', (126, 5)), ('20150621_717', (129, 3)), ('20150708_766', (130, 3)), ('20141123_178', (126, 1)), ('20141214_235', (116, 1)), ('20150125_345', (124, 1))]",,0,,,,,,,,16.920473773265652, 1200,EROICO,,,4,"3>(17d),3>(21d),2>(35d),4>(28d),2>(14d),2>(14d),1>(22d),6>(13d),1>(21d),2>(21d),1>(21d),1>(25d)","[17.167381974248926, 17.072129748186086, 16.99441612041758, 17.112822393350445, 17.064846416382252, 16.920473773265652]",,,SJJ,0,2015-10-01 09:45:00,,"[6, 9, 12, 8, 10, 13, 3, 5, 2, 7, 4, 1, 11]","[17, 21, 35, 28, 14, 14, 22, 13, 21, 21, 21, 25]",,1,17.064846416382252,-10.76923076923076
"[99.0, 29.0]",T288,,,11<14,,"[16.887137630171686, 16.703786191536746]",,,,,2015-10-01,3,0,A+3,LWM,,,18,2,G,,,,14,0,1,ST,1,Ng Yat Cheung,16.887137630171686,,,8,16.887137630171686,,,,0,16.887137630171686,B1,0,"[('20150913_026', (120, 11)), ('20150712_769', (123, 14))]",,0,,,,,,,,16.703786191536746, 1400,DUTCH WINDMILL,,,0,11>(63d),[16.887137630171686],,,CCW,0,2015-10-01 08:35:00,,"[1, 2]",[63],,0,,-100.0
"[30.0, 12.0, 16.0]",N033,,,9<5<1<9<6<10<9<0<5<5<10<7<11<8<7<14<9<4<10<8<9<1<4<6<2<1<2<13<1<6<10<10<6<1<1<1<1,17.224056265250464,"[17.24633515377982, 17.77145903678692, 17.998560115190784, 17.072129748186086, 17.081850533807827, 17.47742499271774, 17.224056265250464, 17.46724890829694, 17.522340984755562, 16.968325791855204, 17.349063150589867, 17.142857142857142, 17.708517797060388, 17.705382436260624, 17.133066818960593, 17.052721330112263, 17.577781683951486, 17.123287671232877, 17.476406850751484, 17.301038062283737, 17.937219730941703, 17.381228273464657, 17.38374619730552, 17.258737235725587, 17.796760989499912, 17.69598301185631, 17.461148943600488, 17.53155680224404, 17.064846416382256, 17.018379850238258, 17.016449234259785, 17.590149516270888, 17.674089784376104, 17.525411847178407, 17.55001755001755, 17.445917655268666]",,,,,2015-10-01,2,0,A+3,CKK,,,12,37,G,,,,4,1,1,ST,15,Peter Lam Kin Ngok & Stephen Ip Shu Kwan,17.998560115190784,,,10,17.998560115190784,,,,3,16.968325791855204,B-,0,"[('20141026_118', (115, 11)), ('20140525_656', (124, 14)), ('20150121_334', (123, 0)), ('20150919_044', (120, 9)), ('20121128_202', (122, 10)), ('20141203_207', (126, 7)), ('20150101_273', (133, 5)), ('20131208_225', (126, 9)), ('20130310_445', (129, 2)), ('20150301_425', (108, 10)), ('20130428_568', (123, 2)), ('20150503_587', (123, 1)), ('20120304_448', (121, 1)), ('20140406_533', (133, 4)), ('20140126_357', (126, 8)), ('20111217_252', (125, 1)), ('20130127_349', (126, 13)), ('20141001_053', (116, 8)), ('20131001_051', (124, 1)), ('20130526_645', (123, 6)), ('20141217_249', (116, 10)), ('20121219_255', (111, 6)), ('20140622_728', (126, 7)), ('20121021_110', (115, 10)), ('20150221_409', (129, 9)), ('20120121_338', (118, 1)), ('20130106_296', (120, 1)), ('20120211_395', (133, 1)), ('20150321_485', (115, 9)), ('20150906_008', (130, 5)), ('20150311_458', (126, 6)), ('20140427_580', (123, 9)), ('20150110_307', (121, 5)), ('20140216_405', (126, 10)), ('20130401_499', (123, 1)), ('20120421_560', (127, 6)), ('20130908_003', (129, 4))]",,0,,,,,,,,16.968325791855204, 1200,GO BABY GO,,,8,"9>(13d),5>(126d),1>(43d),9>(10d),6>(10d),10>(8d),9>(31d),5>(9d),5>(15d),10>(14d),7>(38d),11>(25d),8>(101d),7>(28d),14>(28d),9>(21d),4>(49d),10>(21d),8>(49d),9>(68d),1>(23d),4>(105d),6>(28d),2>(27d),1>(22d),2>(42d),13>(21d),1>(18d),6>(21d),10>(38d),10>(183d),6>(48d),1>(22d),1>(21d),1>(35d)","[17.24633515377982, 17.77145903678692, 17.998560115190784, 17.072129748186086, 17.081850533807827, 17.224056265250464, 17.46724890829694, 16.968325791855204, 17.142857142857142, 17.461148943600488, 17.064846416382256, 17.016449234259785, 17.590149516270888, 17.674089784376104, 17.525411847178407]",,,YCH,0,2015-10-01 09:45:00,,"[25, 4, 1, 31, 30, 15, 26, 17, 14, 36, 22, 27, 5, 6, 28, 33, 10, 29, 16, 23, 2, 21, 20, 24, 3, 7, 18, 12, 32, 34, 35, 9, 8, 13, 11, 19]","[13, 126, 43, 10, 10, 8, 31, 11, 9, 15, 14, 38, 25, 101, 28, 28, 21, 49, 21, 49, 68, 23, 105, 28, 27, 22, 42, 21, 18, 21, 38, 183, 48, 22, 21, 35]",,2,17.998560115190784,55.13513513513513
"[23.0, 49.0, 17.0]",S010,,,3<10<12<2<10<3<5<7<13<4<1<3<1<2,16.65675193337299,"[17.828489926903192, 17.062420019906156, 16.877637130801688, 17.953321364452425, 17.346053772766695, 17.68346595932803, 16.973811833171677, 17.353579175704986, 16.65675193337299, 17.765144785930005, 17.803097739006585, 17.057569296375267, 17.53463089601964, 17.975912277548083]",,,,,2015-10-01,2,0,A+3,YML,,,25,14,G,,,,12,0,1,ST,8,Justin Yue Kwok Hung & Jeremy Yue Chun Hay,17.975912277548083,,,10,17.953321364452425,,,,0,16.65675193337299,B-/TT,0,"[('20140202_367', (121, 2)), ('20140330_517', (133, 3)), ('20141228_271', (120, 5)), ('20150906_008', (120, 3)), ('20150308_447', (133, 10)), ('20150610_688', (124, 12)), ('20140309_462', (124, 1)), ('20150201_360', (132, 3)), ('20141123_186', (120, 7)), ('20150708_766', (118, 10)), ('20140510_617', (133, 1)), ('20150503_587', (121, 2)), ('20141012_084', (116, 13)), ('20140914_009', (120, 4))]",,0,,,,,,,,16.65675193337299, 1200,MY LITTLE FRIEND,,,2,"3>(60d),10>(28d),12>(38d),2>(56d),10>(35d),3>(35d),5>(35d),7>(42d),13>(28d),4>(127d),1>(41d),3>(21d),1>(35d)","[17.828489926903192, 17.062420019906156, 16.877637130801688, 17.953321364452425, 16.973811833171677, 17.353579175704986, 16.65675193337299, 17.765144785930005]",,,YTP,0,2015-10-01 09:45:00,,"[3, 10, 13, 2, 9, 6, 12, 8, 14, 5, 4, 11, 7, 1]","[60, 28, 38, 56, 35, 35, 35, 42, 28, 127, 41, 21, 35]",,3,17.953321364452425,-72.85714285714285
"[6.5, 7.4, 17.0]",P222,,,1<10<8<5<2<6<9<10<3<9<3<6<10<5<12<6<8<7<12<5<5<4<1<1<1<3,16.920473773265652,"[17.208742040956807, 17.522340984755562, 16.946758932354186, 17.911517105498838, 18.01801801801802, 16.920473773265652, 17.445917655268666, 17.19444046424989, 17.303532804614278, 17.084282460136677, 17.57469244288225, 17.40947075208914, 17.525923762231635, 17.7367860943597, 16.699137211244086, 17.378711078928312, 17.07455890722823, 16.837378981338574, 16.375545851528383, 17.38828029907842, 17.233950883239984, 17.866714311238162, 17.755681818181817, 17.470300489168412, 17.65536723163842, 17.229002153625267]",,,,,2015-10-01,2,0,A+3,NGA,,,22,26,G,,,,14,0,1,ST,16,Lucy Lu Kai Yee,18.01801801801802,,,10,17.911517105498838,,,,2,16.699137211244086,TT,0,"[('20130317_465', (114, 3)), ('20150419_549', (128, 2)), ('20141203_207', (114, 6)), ('20150308_447', (127, 9)), ('20141102_138', (115, 10)), ('20150101_273', (122, 3)), ('20150909_013', (128, 1)), ('20150621_717', (113, 8)), ('20131113_162', (131, 5)), ('20130515_617', (120, 1)), ('20131001_051', (117, 4)), ('20150207_379', (128, 3)), ('20130623_719', (120, 1)), ('20131027_115', (121, 5)), ('20150110_304', (124, 9)), ('20130420_550', (113, 1)), ('20150329_504', (119, 6)), ('20140421_572', (125, 6)), ('20150221_409', (114, 10)), ('20140914_009', (125, 5)), ('20150503_587', (113, 5)), ('20150705_755', (128, 10)), ('20140305_453', (127, 7)), ('20140319_489', (128, 8)), ('20131226_273', (128, 12)), ('20140430_591', (128, 12))]",,0,,,,,,,,16.375545851528383, 1200,CALIFORNIA BOUNTY,,,4,"1>(66d),10>(14d),8>(49d),5>(14d),2>(21d),6>(21d),9>(15d),10>(14d),3>(28d),9>(9d),3>(29d),6>(31d),10>(49d),5>(137d),12>(9d),6>(33d),8>(14d),7>(69d),12>(43d),5>(17d),5>(26d),4>(100d),1>(39d),1>(25d),1>(34d)","[16.946758932354186, 17.911517105498838, 16.920473773265652, 17.19444046424989, 17.084282460136677, 17.57469244288225, 17.40947075208914, 17.525923762231635, 17.7367860943597, 16.699137211244086, 17.378711078928312, 17.07455890722823, 17.38828029907842, 17.470300489168412, 17.65536723163842, 17.229002153625267]",,,CAS,0,2015-10-01 09:45:00,,"[18, 9, 22, 2, 1, 23, 11, 19, 15, 20, 7, 12, 8, 5, 25, 14, 21, 24, 26, 13, 16, 3, 4, 10, 6, 17]","[66, 14, 49, 14, 21, 21, 15, 14, 28, 9, 29, 31, 49, 137, 9, 33, 14, 69, 43, 17, 26, 100, 39, 25, 34]",,4,17.911517105498838,-35.76923076923077
